,ID,Pi_gene_0d,Td_gene_0d,Tw_gene_0d,Pi_gene_4d,Td_gene_4d,Tw_gene_4d,Pi_gene_full,Td_gene_full,Tw_gene_full,DOS_east,W_Danaus_plexippus_East,East_Pin_Pis_Monarch,alpha_East
0,DPOGS206959,0.0008499871513570142,-1.864537121187004,0.0022401148567019447,0.0005350454788657035,-1.5106025230521225,0.0019248927019065395,0.0012638120746228856,-1.4537981848848684,0.0022525040967525762,0.08950201884253027,0.09830007390983,0.0,1.0
1,DPOGS206961,0.008676421957671956,-0.4892223155074362,0.01003801467595793,0.001665686850872036,-0.9936849242937535,0.003172508342031148,0.006250150999009447,-0.5167459798831555,0.007275039677479647,0.03764876645416824,0.11069063386944182,0.06611003559860534,0.40274950745533467
2,DPOGS206962,0.003906730650916697,-1.3250471679507865,0.007470150456526831,0.0,,0.0,0.0022176820856688838,-1.3250471679507867,0.004240481447269357,-0.7550590219224284,0.32439977666108316,0.0,1.0
3,DPOGS206963,0.004437077221887347,-0.8319275564285931,0.006505650017836025,0.00849767516434183,-1.5273022082045529,0.023361197791320273,0.008107185526540366,-0.6529137634685958,0.010131558898744637,-0.14122007548458387,0.31000613873542054,0.6073678501412472,-0.9592123324358248
4,DPOGS206964,0.0025079493035962204,-1.4338453804204387,0.004350210955094707,0.006942831333075236,0.2992386112146104,0.0062676384318176345,0.0029284929215916103,-0.8892089908044385,0.003901594110075574,0.06949236076885165,0.0746822033898305,0.0,1.0
5,DPOGS206965,0.006253006253006253,-0.1353416258600946,0.006519404034787053,0.017014213092644462,0.3645994045292196,0.01511606915908959,0.007396343804707888,-0.08981429175312128,0.007585924006037579,0.10535666332603169,0.41216216216216217,0.22927045185923622,0.4437372643415253
6,DPOGS206958,0.008843537414965984,-0.29835601204298073,0.009789454312553257,0.02166317260656884,1.174610631155067,0.014545651454973,0.01232773471145564,0.34227286982298577,0.011205225684790248,-0.07186759547160564,0.14250103863730784,0.24470203191027698,-0.7171947253878621
7,DPOGS206957,0.00013528138528138528,-1.1514180085336592,0.00048669162065250566,0.0012440161249685062,-1.2413746070321383,0.003059204472672893,0.0008694408694408693,-1.0390813617596952,0.0013890441929974215,-0.05967635539069263,0.19940029985007496,0.2918667454499408,-0.4637227008654925
8,DPOGS206966,0.0011643937700275726,-0.9329358590808904,0.0018096702514403028,0.005666253893204247,-0.5827737432195929,0.007290019168922637,0.0017654680919987039,-1.0509319186966621,0.0026221752622910513,0.07077268237211388,0.13626373626373625,0.05169053532172963,0.6206581682034358
9,DPOGS206967,0.0018483643719048614,-1.61357693487148,0.003871535603834621,0.004449254449254449,-0.2669587191130236,0.0050059709552829155,0.002830602400031894,-1.0857977501529759,0.004149190135164528,-0.037808044149130214,0.0,0.03929366060402825,
10,DPOGS206956,0.004166338091107432,-1.0518418833322394,0.005836154451770572,0.0072039072039072035,-1.1823818121426641,0.011069613722656376,0.005228194564210661,-1.139765150866477,0.007445500463068675,0.053777180404680575,0.24539069359086918,0.16721790828445024,0.31856458842222246
11,DPOGS206968,0.00318357098018115,-0.7039837064023494,0.004355477554313949,0.007231040564373897,-0.7675334748369673,0.011421030031312134,0.0065738746643269255,-0.24311183030301356,0.007102273700376266,0.03341687552213868,0.03457216940363008,0.0,1.0
12,DPOGS206969,0.0038665038665038655,-0.4018986783399544,0.004463553920425958,0.0030525030525030525,-0.36340365921852097,0.003953433472377277,0.0046216612481672715,-0.6965371213910551,0.0058051169210359115,0.1363094028773624,0.192619926199262,0.025851980908840323,0.8657876086916527
13,DPOGS206954,0.0011084508291212202,-1.1648504858514332,0.002153406500317232,0.00876602995247063,0.8203964479463359,0.006533216331470924,0.0036736319378408468,0.1075453517419196,0.003552624548910456,0.013496932515337423,0.013681592039800995,0.0,1.0
14,DPOGS206970,0.008171189622802525,-0.5250909010007553,0.009671033494256244,0.006663987676645905,0.050919389863783714,0.006505650017836025,0.005710464894138363,-0.5805284092279861,0.006857996839838135,-0.03550937174136162,0.0,0.03681670998242133,
